pig_id,day_age,weight_kg,daily_feed_intake_kg,avg_temperature
LTW-002,22,5.11,0.22,10.0
LTW-002,23,5.87,0.216,7.1
LTW-002,24,6.09,0.334,12.5
LTW-002,25,5.91,0.32,11.9
LTW-002,26,6.63,0.304,11.5
LTW-002,27,6.27,0.297,8.3
LTW-002,28,6.65,0.234,10.6
LTW-002,29,6.89,0.221,11.1
LTW-002,30,7.29,0.284,11.3
LTW-002,31,7.32,0.383,12.2
LTW-002,32,7.63,0.346,13.0
LTW-002,33,7.3,0.256,10.2
LTW-002,34,8.61,0.363,11.7
LTW-002,35,8.86,0.312,10.3
LTW-002,36,8.6,0.333,11.5
LTW-002,37,9.33,0.413,10.8
LTW-002,38,9.86,0.424,14.4
LTW-002,39,9.96,0.422,13.2
LTW-002,40,10.04,0.481,14.3
LTW-002,41,11.16,0.455,12.6
LTW-002,42,11.03,0.464,12.7
LTW-002,43,11.21,0.528,12.6
LTW-002,44,11.65,0.502,13.1
LTW-002,45,12.0,0.468,13.6
LTW-002,46,11.95,0.412,13.3
LTW-002,47,12.75,0.546,11.8
LTW-002,48,13.29,0.516,14.1
LTW-002,49,13.57,0.477,10.9
LTW-002,50,13.79,0.536,14.6
LTW-002,51,13.93,0.523,14.5
LTW-002,52,14.32,0.55,14.9
LTW-002,53,15.4,0.639,15.6
LTW-002,54,15.56,0.562,13.5
LTW-002,55,15.44,0.549,19.3
LTW-002,56,16.25,0.621,14.6
LTW-002,57,16.57,0.597,12.6
LTW-002,58,16.76,0.62,15.4
LTW-002,59,17.42,0.651,16.1
LTW-002,60,18.36,0.727,15.4
LTW-002,61,18.14,0.687,17.1
LTW-002,62,19.12,0.736,16.8
LTW-002,63,19.53,0.828,16.0
LTW-002,64,20.22,0.728,17.5
LTW-002,65,20.09,0.77,15.9
LTW-002,66,21.04,0.877,15.8
LTW-002,67,21.4,0.808,14.3
LTW-002,68,21.12,0.793,16.4
LTW-002,69,22.21,0.843,17.3
LTW-002,70,22.72,0.943,20.2
LTW-002,71,23.07,0.814,20.0
LTW-002,72,23.68,0.807,20.6
LTW-002,73,24.62,0.948,16.7
LTW-002,74,24.92,0.926,21.3
LTW-002,75,25.48,0.975,19.9
LTW-002,76,25.79,1.004,19.1
LTW-002,77,26.84,1.017,18.0
LTW-002,78,27.22,1.044,19.3
LTW-002,79,27.67,1.03,18.7
LTW-002,80,28.36,1.155,18.4
LTW-002,81,28.84,1.129,18.3
LTW-002,82,29.39,1.193,21.6
LTW-002,83,29.79,1.12,19.6
LTW-002,84,30.18,1.179,19.7
LTW-002,85,31.05,1.161,20.3
LTW-002,86,31.73,1.172,20.5
LTW-002,87,32.15,1.186,21.0
LTW-002,88,33.03,1.275,22.9
LTW-002,89,33.41,1.285,22.6
LTW-002,90,34.22,1.321,24.5
LTW-002,91,34.68,1.318,23.6
LTW-002,92,34.8,1.26,23.8
LTW-002,93,36.28,1.404,24.0
LTW-002,94,36.36,1.35,25.5
LTW-002,95,36.6,1.393,22.2
LTW-002,96,37.25,1.437,23.5
LTW-002,97,37.91,1.386,25.9
LTW-002,98,38.38,1.462,24.2
LTW-002,99,39.5,1.463,22.9
LTW-002,100,39.8,1.552,23.0
LTW-002,101,40.46,1.58,25.4
LTW-002,102,41.54,1.63,25.8
LTW-002,103,42.08,1.598,23.9
LTW-002,104,41.92,1.57,25.3
LTW-002,105,43.21,1.585,25.8
LTW-002,106,43.41,1.634,24.7
LTW-002,107,44.39,1.699,23.6
LTW-002,108,44.46,1.734,22.3
LTW-002,109,45.2,1.655,24.9
LTW-002,110,45.8,1.728,25.3
LTW-002,111,47.14,1.785,26.8
LTW-002,112,47.71,1.84,28.0
LTW-002,113,47.99,1.918,28.0
LTW-002,114,48.94,1.911,29.3
LTW-002,115,49.63,1.834,25.2
LTW-002,116,49.99,1.873,24.5
LTW-002,117,50.9,1.963,26.1
LTW-002,118,50.86,1.986,26.6
LTW-002,119,51.96,2.061,27.9
LTW-002,120,52.92,2.077,26.3
LTW-002,121,52.98,2.013,27.8
LTW-002,122,54.12,2.077,26.2
LTW-002,123,54.59,2.061,29.3
LTW-002,124,55.36,2.157,27.2
LTW-002,125,55.8,2.136,26.3
LTW-002,126,56.37,2.1,28.0
LTW-002,127,56.88,2.239,26.5
LTW-002,128,57.24,2.225,27.8
LTW-002,129,58.38,2.286,30.0
LTW-002,130,58.74,2.265,27.5
LTW-002,131,59.7,2.194,28.7
LTW-002,132,60.45,2.216,30.2
LTW-002,133,60.94,2.278,27.3
LTW-002,134,60.99,2.262,28.7
LTW-002,135,61.76,2.346,30.8
LTW-002,136,62.76,2.35,31.5
LTW-002,137,63.21,2.469,30.8
LTW-002,138,64.07,2.466,32.2
LTW-002,139,64.73,2.483,27.5
LTW-002,140,65.09,2.425,30.4
LTW-002,141,65.51,2.508,31.0
LTW-002,142,65.8,2.448,30.8
LTW-002,143,66.57,2.488,31.2
LTW-002,144,67.27,2.543,29.6
LTW-002,145,68.07,2.516,29.2
LTW-002,146,68.62,2.525,31.5
LTW-002,147,69.42,2.743,29.7
LTW-002,148,69.59,2.622,29.9
LTW-002,149,70.19,2.723,32.4
LTW-002,150,70.94,2.634,31.5
LTW-002,151,71.65,2.73,33.4
LTW-002,152,71.96,2.754,33.7
LTW-002,153,72.97,2.736,30.4
LTW-002,154,73.17,2.723,32.2
LTW-002,155,73.31,2.753,32.9
LTW-002,156,74.89,2.81,31.4
LTW-002,157,75.47,2.836,32.2
LTW-002,158,76.68,2.874,31.4
LTW-002,159,76.8,2.816,30.5
LTW-002,160,76.42,2.884,32.6
LTW-002,161,77.64,2.948,29.8
LTW-002,162,78.34,2.924,31.7
LTW-002,163,78.74,2.968,32.4
LTW-002,164,78.77,2.875,31.6
LTW-002,165,79.84,2.969,32.7
LTW-002,166,80.29,3.032,29.6
LTW-002,167,80.6,3.055,32.2
LTW-002,168,81.06,3.022,33.8
LTW-002,169,81.84,2.981,32.8
LTW-002,170,82.55,3.12,32.1
LTW-002,171,82.84,3.096,31.5
LTW-002,172,83.42,3.088,30.2
LTW-002,173,84.34,3.087,31.9
LTW-002,174,84.71,3.037,29.2
LTW-002,175,85.01,3.163,32.2
LTW-002,176,85.26,3.09,31.7
LTW-002,177,86.11,3.183,29.5
LTW-002,178,86.64,3.182,29.3
LTW-002,179,87.31,3.157,34.2
LTW-002,180,87.68,3.177,30.0
LTW-002,181,88.56,3.235,32.8
LTW-002,182,88.65,3.286,32.8
LTW-002,183,89.75,3.167,32.7
LTW-002,184,89.48,3.295,30.6
LTW-002,185,90.07,3.271,30.7
LTW-002,186,90.96,3.323,32.5
LTW-002,187,91.24,3.429,32.6
LTW-002,188,91.2,3.332,32.7
LTW-002,189,92.33,3.289,31.2
LTW-002,190,92.47,3.395,28.7
LTW-002,191,92.91,3.346,30.7
LTW-002,192,93.06,3.412,30.0
LTW-002,193,94.25,3.443,32.2
LTW-002,194,94.7,3.516,29.0
LTW-002,195,94.72,3.513,31.4
LTW-002,196,95.03,3.49,32.1
LTW-002,197,96.4,3.603,30.4
LTW-002,198,96.32,3.603,29.0
LTW-002,199,96.25,3.573,27.3
LTW-002,200,97.33,3.556,30.6
LTW-002,201,97.92,3.556,31.5
LTW-002,202,98.1,3.566,28.5
LTW-002,203,97.99,3.529,27.0
LTW-002,204,99.1,3.6,28.5
LTW-002,205,98.8,3.614,31.3
LTW-002,206,99.72,3.588,29.8
LTW-002,207,99.7,3.641,31.1
LTW-002,208,100.63,3.732,24.9
LTW-002,209,100.66,3.65,32.8
LTW-002,210,101.22,3.651,30.4
LTW-002,211,101.88,3.781,28.3
LTW-002,212,102.25,3.693,29.9
LTW-002,213,102.35,3.629,29.5
LTW-002,214,102.64,3.676,30.3
LTW-002,215,103.58,3.788,27.8
LTW-002,216,103.23,3.781,29.3
LTW-002,217,104.3,3.857,30.5
LTW-002,218,104.4,3.863,26.5
LTW-002,219,104.32,3.829,27.5
LTW-002,220,105.22,3.823,30.4
LTW-002,221,104.95,3.82,27.4
LTW-002,222,105.72,3.825,29.8
LTW-002,223,105.76,3.78,28.2
LTW-002,224,107.06,3.813,27.8
LTW-002,225,107.23,3.787,30.8
LTW-002,226,107.53,3.905,27.8
LTW-002,227,107.71,3.866,27.6
LTW-002,228,108.38,4.021,24.7
LTW-002,229,108.76,3.935,24.8
LTW-002,230,109.06,3.936,25.6
LTW-002,231,108.85,3.905,27.9
LTW-002,232,109.31,3.939,26.8
LTW-002,233,109.38,3.875,23.8
LTW-002,234,109.62,3.921,23.1
LTW-002,235,110.39,3.942,25.6
LTW-002,236,110.31,3.909,23.8
LTW-002,237,110.57,3.916,26.2
LTW-002,238,111.26,4.13,24.0
LTW-002,239,111.03,3.982,25.0
LTW-002,240,111.65,4.027,25.0
LTW-002,241,111.86,4.045,25.0
LTW-002,242,112.88,4.133,23.2
LTW-002,243,112.73,4.079,21.0
LTW-002,244,113.07,4.11,22.4
LTW-002,245,113.24,4.063,25.1
LTW-002,246,113.9,4.113,24.4
LTW-002,247,113.66,4.08,24.5
LTW-002,248,114.86,4.157,23.7
LTW-002,249,114.31,4.103,22.2
LTW-002,250,114.47,4.096,20.8
LTW-002,251,115.08,4.178,22.7
LTW-002,252,115.26,4.119,23.2
LTW-002,253,115.6,4.033,22.3
LTW-002,254,115.94,4.1,20.8
LTW-002,255,115.63,4.04,20.9
LTW-002,256,116.72,4.087,21.0
LTW-002,257,116.52,4.132,22.3
LTW-002,258,116.9,4.167,20.4
LTW-002,259,116.73,4.137,20.7
LTW-002,260,118.38,4.199,20.2
LTW-002,261,118.04,4.221,20.1
LTW-002,262,117.74,4.164,22.4
LTW-002,263,118.36,4.2,21.6
LTW-002,264,118.49,4.252,20.6
LTW-002,265,118.41,4.166,19.8
LTW-002,266,118.75,4.284,18.3
LTW-002,267,119.69,4.252,23.0
LTW-002,268,119.19,4.316,17.4
LTW-002,269,119.22,4.206,18.2
LTW-002,270,120.43,4.33,16.9
LTW-002,271,120.53,4.3,18.0
LTW-002,272,119.9,4.242,17.9
LTW-002,273,119.81,4.265,18.5
LTW-002,274,120.3,4.225,15.5
LTW-002,275,120.87,4.233,17.0
LTW-002,276,120.94,4.258,17.7
LTW-002,277,121.43,4.319,16.7
LTW-002,278,121.62,4.306,18.1
LTW-002,279,122.15,4.245,18.5
LTW-002,280,122.36,4.275,19.1
LTW-002,281,122.28,4.341,15.7
LTW-002,282,122.65,4.395,15.0
LTW-002,283,122.44,4.371,15.6
LTW-002,284,123.48,4.394,14.9
LTW-002,285,123.16,4.294,13.1
LTW-002,286,122.93,4.31,14.5
LTW-002,287,123.49,4.37,17.0
LTW-002,288,124.47,4.421,14.5
LTW-002,289,123.98,4.343,17.0
LTW-002,290,124.3,4.335,17.0
LTW-002,291,124.21,4.344,15.1
LTW-002,292,124.15,4.35,16.9
LTW-002,293,125.11,4.383,13.2
LTW-002,294,125.01,4.343,13.5
LTW-002,295,124.73,4.343,14.0
LTW-002,296,125.15,4.361,10.1
LTW-002,297,125.24,4.34,12.5
LTW-002,298,125.2,4.461,13.2
LTW-002,299,125.22,4.434,12.5
LTW-002,300,125.9,4.384,12.6
LTW-003,1,2.38,0.1,5.7
LTW-003,2,2.93,0.1,8.4
LTW-003,3,2.98,0.128,8.9
LTW-003,4,2.71,0.19,8.7
LTW-003,5,3.35,0.18,8.1
LTW-003,6,3.3,0.1,10.4
LTW-003,7,4.17,0.174,9.2
LTW-003,8,3.59,0.1,8.6
LTW-003,9,3.92,0.136,9.1
LTW-003,10,4.51,0.16,10.0
LTW-003,11,3.89,0.1,9.5
LTW-003,12,4.39,0.219,10.1
LTW-003,13,4.6,0.144,11.7
LTW-003,14,5.3,0.147,7.7
LTW-003,15,5.35,0.192,9.3
LTW-003,16,5.72,0.292,10.0
LTW-003,17,5.31,0.171,8.2
LTW-003,18,5.85,0.245,8.9
LTW-003,19,6.3,0.255,9.4
LTW-003,20,6.18,0.281,8.5
LTW-003,21,6.4,0.197,11.1
LTW-003,22,6.48,0.304,9.8
LTW-003,23,6.97,0.247,12.2
LTW-003,24,7.23,0.182,8.8
LTW-003,25,7.85,0.285,8.6
LTW-003,26,7.33,0.273,11.7
LTW-003,27,8.14,0.267,14.2
LTW-003,28,8.33,0.326,12.1
LTW-003,29,8.38,0.335,7.6
LTW-003,30,8.34,0.254,12.1
LTW-003,31,9.01,0.37,9.2
LTW-003,32,9.14,0.352,9.8
LTW-003,33,9.94,0.443,11.0
LTW-003,34,9.56,0.436,12.0
LTW-003,35,10.76,0.354,14.1
LTW-003,36,10.96,0.375,11.4
LTW-003,37,11.41,0.474,10.9
LTW-003,38,11.55,0.487,10.4
LTW-003,39,11.43,0.446,11.4
LTW-003,40,12.27,0.487,12.4
LTW-003,41,12.61,0.427,13.1
LTW-003,42,13.17,0.513,12.2
LTW-003,43,14.03,0.511,10.2
LTW-003,44,13.77,0.565,13.4
LTW-003,45,13.82,0.59,11.3
LTW-003,46,14.46,0.533,14.6
LTW-003,47,15.19,0.709,12.8
LTW-003,48,15.72,0.597,14.3
LTW-003,49,15.87,0.672,13.3
LTW-003,50,16.18,0.733,17.0
LTW-003,51,16.89,0.716,12.1
LTW-003,52,17.03,0.615,14.1
LTW-003,53,17.36,0.651,15.4
LTW-003,54,18.01,0.799,16.0
LTW-003,55,18.43,0.683,14.6
LTW-003,56,18.54,0.683,18.1
LTW-003,57,19.36,0.711,15.9
LTW-003,58,19.65,0.678,14.1
LTW-003,59,20.31,0.735,16.2
LTW-003,60,20.94,0.73,16.0
LTW-003,61,21.89,0.864,19.8
LTW-003,62,22.45,0.845,14.6
LTW-003,63,22.37,0.88,13.8
LTW-003,64,23.41,0.906,18.5
LTW-003,65,23.1,0.836,17.6
LTW-003,66,23.69,0.891,17.0
LTW-003,67,24.18,0.984,15.6
LTW-003,68,24.96,0.932,16.6
LTW-003,69,24.95,0.934,17.4
LTW-003,70,26.09,1.07,18.7
LTW-003,71,26.5,1.046,19.2
LTW-003,72,26.91,1.048,17.8
LTW-003,73,27.32,1.011,19.4
LTW-003,74,28.09,1.134,18.7
LTW-003,75,28.99,1.081,19.7
LTW-003,76,29.53,1.13,19.4
LTW-003,77,29.54,1.163,20.8
LTW-003,78,30.43,1.115,20.3
LTW-003,79,30.88,1.222,18.9
LTW-003,80,32.19,1.348,18.9
LTW-003,81,32.19,1.24,21.2
LTW-003,82,32.23,1.134,20.5
LTW-003,83,33.16,1.251,18.4
LTW-003,84,34.05,1.351,20.3
LTW-003,85,34.08,1.298,21.5
LTW-003,86,35.37,1.326,22.5
LTW-003,87,35.87,1.386,19.2
LTW-003,88,36.05,1.431,22.0
LTW-003,89,37.5,1.444,22.7
LTW-003,90,37.48,1.421,20.2
LTW-003,91,38.1,1.478,21.0
LTW-003,92,38.97,1.483,21.4
LTW-003,93,38.7,1.444,21.5
LTW-003,94,40.43,1.56,20.5
LTW-003,95,40.6,1.555,21.4
LTW-003,96,40.97,1.622,24.5
